stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000011319006,NA,Höhr-Grenzhausen Hainchenweg,NA,50.437296,7.660159,0,NA,0,NA,NA
000011319208,NA,Höhr-Grenzhausen Höhenstraße,Höhenstraße,50.438406,7.657554,0,NA,0,99,2
000011319407,NA,Höhr-Grenzhausen Mittelstraße,NA,50.432895,7.672987,0,NA,0,NA,NA
000011319705,NA,Höhr-Grenzhausen Westerwald Arkaden,Westerwald Arkaden,50.442262,7.66059,0,NA,0,99,2
000011319806,NA,Höhr-Grenzhausen Rathaus,NA,50.436912,7.666411,0,NA,0,NA,NA
000011319908,NA,Höhr-Grenzhausen Schillerstraße,Schillerstraße,50.442096,7.659737,0,NA,0,99,2
000011320015,NA,Höhr-Grenzhausen Schulzentrum,NA,50.440431,7.668154,0,NA,0,NA,NA
000011320105,NA,Höhr-Grenzhausen Schwimmbad,NA,50.446095,7.676212,0,NA,0,NA,NA
000011320305,NA,Höhr-Grenzhausen Teplitz-Schönauer-Straße,Teplitz-Schönauer-St,50.439807,7.659458,0,NA,0,99,2
000011320407,NA,Höhr-Grenzhausen Turnstraße,Turnstraße,50.440477,7.661569,0,NA,0,99,2
000011320603,NA,Holler Oberdorf,NA,50.410631,7.83657,0,NA,0,NA,NA
000011320704,NA,Holler Unterdorf,NA,50.414049,7.833255,0,NA,0,NA,NA
000011323404,NA,Horbach Brunnen,NA,50.373582999999996,7.847934,0,NA,0,NA,NA
000011323505,NA,Horbach Haus Sanner,NA,50.373446,7.849686,0,NA,0,NA,NA
000011323603,NA,Horbach Schule,NA,50.371417,7.855525,0,NA,0,NA,NA
000011324503,NA,"Horperath, Backhaus",NA,50.244247,6.953526,0,NA,0,NA,NA
000011324605,NA,Montabaur Abzw. Horressen,NA,50.418519,7.800907,0,NA,0,NA,NA
000011324704,NA,Montabaur Horressen Kirmesplatz,NA,50.427465,7.79655,0,NA,0,NA,NA
000011325605,NA,Hübingen (b. Montabaur) Hauptstraße,NA,50.360117,7.845203,0,NA,0,NA,NA
000011326309,NA,Hundsdorf Hauptstraße,NA,50.470715,7.706314,0,NA,0,NA,NA
000011327205,NA,Hattert Hütte Bundesstraße,NA,50.648606,7.780821,0,NA,0,NA,NA
000011327307,NA,Hattert Hütte Hütter Straße,NA,50.650343,7.778611,0,NA,0,NA,NA
000011328505,NA,Isenburg Böhm,NA,50.475729,7.588815,0,NA,0,NA,NA
000011328605,NA,Isenburg Dorfgemeinschaftshaus,NA,50.477135,7.59248,0,NA,0,NA,NA
000011344203,NA,Girod Kleinholbach Feldstraße,NA,50.446026,7.90327,0,NA,0,NA,NA
000011344505,NA,Kleinmaischeid Kirchstraße,NA,50.5122,7.606233,0,NA,0,NA,NA
000011344605,NA,Kleinmaischeid Kettemers Mühle,NA,50.487236,7.594286,0,NA,0,NA,NA
000011351609,NA,Koblenz Christuskirche,NA,50.354226,7.593531,0,NA,0,NA,NA
000011355606,NA,Koblenz Kesselheim HWK-Campus,NA,50.389067,7.566815,0,NA,0,NA,NA
000011363910,NA,Wirges Schulzentrum,NA,50.468834,7.798248,0,NA,0,NA,NA
000011375506,NA,Krümmel Im Wieschen,NA,50.534365,7.724137,0,NA,0,NA,NA
000011389903,NA,"Lirstal, Abzw. Kaperich",NA,50.256396,7.0398,0,NA,0,NA,NA
000011389904,NA,"Lirstal, Abzw. Kaperich",NA,50.256327,7.039773,0,NA,0,NA,NA
000011390003,NA,"Lirstal, Abzw. Retterath",NA,50.257739,7.031877,0,NA,0,NA,NA
000011390004,NA,"Lirstal, Abzw. Retterath",NA,50.257831,7.031222,0,NA,0,NA,NA
000011391407,NA,Luckenbach Dorfplatz,NA,50.703847,7.833767,0,NA,0,NA,NA
000011395606,NA,Marienhausen Zum Mühlbach,NA,50.563048,7.690055,0,NA,0,NA,NA
000011395708,NA,Marienrachdorf Auf dem Bruch,NA,50.548506,7.716061,0,NA,0,NA,NA
000011395815,NA,Streithausen Marienstatt Gymnasium,NA,50.683953,7.805506,0,NA,0,NA,NA
000011396905,NA,Maxsain Ortsmitte,NA,50.544134,7.78586,0,NA,0,NA,NA
000011397606,NA,Mayen Auf der Eich,NA,50.334562,7.229318,0,NA,0,NA,NA
000011403205,NA,Meudt Eisen Meisenstraße,NA,50.498117,7.90345,0,NA,0,NA,NA
000011403304,NA,Meudt Kirchstraße,NA,50.493117,7.896946,0,NA,0,NA,NA
000011403503,NA,Montabaur Elgendorf Dernbacher Str.,NA,50.442508,7.797637,0,NA,0,NA,NA
000011403901,NA,Montabaur 1&1 Westeingang,NA,50.435379,7.811094,0,NA,0,NA,NA
000011403903,NA,Montabaur 1&1 Westeingang,NA,50.435379,7.811094,0,NA,0,NA,NA
000011404204,NA,Siershahn Konrad-Adenauer-Platz,NA,50.483806,7.778844,0,NA,0,NA,NA
000011406706,NA,Mogendorf Gartenstraße,NA,50.491476,7.760456,0,NA,0,NA,NA
000011407204,NA,Montabaur Alleestr.,NA,50.436907,7.834208,0,NA,0,NA,NA
000011407305,NA,Montabaur Bahnhofstraße,NA,50.439361,7.824901,0,NA,0,NA,NA
000011407308,NA,Montabaur Bahnhofstraße,NA,50.439361,7.824901,0,NA,0,NA,NA
000011407405,NA,Montabaur Quartier Süd,NA,50.428232,7.819628,0,NA,0,NA,NA
000011407408,NA,Montabaur Quartier Süd,NA,50.428232,7.819628,0,NA,0,NA,NA
000011407508,NA,Montabaur Konrad-Adenauer-Platz,NA,50.435756,7.829042,0,NA,0,NA,NA
000011407514,NA,Montabaur Konrad-Adenauer-Platz,NA,50.435756,7.829042,0,NA,0,NA,NA
000011407603,NA,Montabaur Krankenhaus,NA,50.433817,7.832582,0,NA,0,NA,NA
000011407705,NA,Montabaur Kreishaus,NA,50.431328,7.828135,0,NA,0,NA,NA
000011407708,NA,Montabaur Kreishaus,NA,50.431328,7.828135,0,NA,0,NA,NA
000011407802,NA,Montabaur Möbel-Hermes,NA,50.440465,7.825692,0,NA,0,NA,NA
000011407916,NA,Montabaur Schulzentrum,NA,50.440746,7.81616,0,NA,0,NA,NA
000011407917,NA,Montabaur Schulzentrum,NA,50.44062,7.816196,0,NA,0,NA,NA
000011407918,NA,Montabaur Schulzentrum,NA,50.440522,7.816259,0,NA,0,NA,NA
000011407919,NA,Montabaur Schulzentrum,NA,50.440419,7.816421,0,NA,0,NA,NA
000011407920,NA,Montabaur Schulzentrum,NA,50.440311,7.81669,0,NA,0,NA,NA
000011407921,NA,Montabaur Schulzentrum,NA,50.440282,7.817023,0,NA,0,NA,NA
000011407922,NA,Montabaur Schulzentrum,NA,50.440391,7.817068,0,NA,0,NA,NA
000011407924,NA,Montabaur Schulzentrum,NA,50.440671,7.816619,0,NA,0,NA,NA
